,points_x,points_y,celltypes,phenotypes
425,4.29823,15.7183,Stroma,
426,4.8357,16.0972,Stroma,
427,6.85191,18.4117,Stroma,
428,5.85324,20.2599,Stroma,
429,9.25059,19.8189,Stroma,
430,5.09156,20.4518,Stroma,
431,8.92145,23.7463,Stroma,
432,4.65953,21.7011,Stroma,
433,3.68979,22.005,Stroma,
434,3.00962,21.6496,Stroma,
435,3.57516,23.3687,Stroma,
436,3.22626,24.4514,Stroma,
437,3.54877,25.1863,Stroma,
438,3.36173,25.7784,Stroma,
439,2.98108,26.2856,Stroma,
440,3.29385,26.8538,Stroma,
441,3.27305,28.0817,Stroma,
442,3.94393,30.1854,Stroma,
443,4.79431,30.3237,Stroma,
444,5.8789,32.0573,Stroma,
445,6.91338,31.0172,Stroma,
446,6.76315,32.3136,Stroma,
447,7.93286,37.0491,Stroma,
448,8.71094,33.642,Stroma,
449,5.78039,36.3367,Stroma,
450,7.13133,37.9291,Stroma,
451,6.40191,37.7082,Stroma,
452,11.8246,34.7272,Stroma,
453,6.71846,39.1936,Stroma,
454,5.2214,39.9704,Stroma,
455,4.85612,39.3581,Stroma,
456,4.33005,39.9623,Stroma,
457,3.50756,38.5687,Stroma,
458,4.11213,42.7403,Stroma,
459,3.34855,44.9182,Stroma,
460,3.93734,45.2058,Stroma,
461,4.04338,46.1839,Stroma,
462,4.04586,46.877,Stroma,
463,3.38353,46.8358,Stroma,
464,3.49685,47.754,Stroma,
465,3.91343,48.452,Stroma,
466,4.51289,48.3663,Stroma,
467,4.74168,49.183,Stroma,
468,6.98422,50.0,Stroma,
469,4.98833,0.0,Stroma,
470,5.33411,0.826605,Stroma,
471,5.30488,1.51889,Stroma,
472,5.35273,2.18318,Stroma,
473,5.18176,2.71745,Stroma,
474,5.41939,3.35967,Stroma,
475,5.59292,3.9182,Stroma,
476,5.63027,4.57638,Stroma,
477,5.49897,5.27342,Stroma,
478,6.07252,5.51803,Stroma,
479,5.26117,6.03902,Stroma,
480,5.07152,6.64915,Stroma,
481,4.79853,7.51638,Stroma,
482,5.3055,8.25115,Stroma,
483,5.1664,8.83422,Stroma,
